Id,BIRTHDATE,SSN,DRIVERS,PASSPORT,FIRST,LAST,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,EMAIL,MRN,GroundTruth,Description,Scenario #,BIRTHDATE_DT,Address,num_matches,MatchID
1356280,01/01/1970,999-18-3878,S99935158,0,Honey-Heath,Borer,white,nonhispanic,F,New York  New York  US,983 Auer Orchard Unit 37,New York,New York,Richmond County,36005.0,10459,PQEldLarxF@yahoo.com,999-18-3878,Match,hyphenatedLastNames,4,0,0,11,05ce089a-7bcf-83d3-7252-5cbe921bf865
5895617,01/01/1970,999-18-3878,S99935158,0,John,Doe,white,nonhispanic,F,New York  New York  US,983 Auer Orchard Unit 37,New York,New York,Richmond County,36005.0,10459,PQEldLarxF@yahoo.com,999-18-3878,Match,place_holder_name,11.1,0,0,11,05ce089a-7bcf-83d3-7252-5cbe921bf865
8224899,01/01/1970,165-01-9903,S99935158,0,Julia,Borer,white,nonhispanic,F,New York  New York  US,983 Auer Orchard Unit 37,New York,New York,Richmond County,36005.0,10459,PQEldLarxF@yahoo.com,999-18-3878,No Match,twins,1,0,0,11,05ce089a-7bcf-83d3-7252-5cbe921bf865
9001446,12/17/1992,343-10-1908,S99935158,0,Unknown,Unknown,white,nonhispanic,F,New York  New York  US,983 Auer Orchard Unit 37,New York,New York,Richmond County,36005.0,10459,PQEldLarxF@yahoo.com,999-18-3878,No Match,UnkownNames,12.2,0,0,11,05ce089a-7bcf-83d3-7252-5cbe921bf865
5451359,01/01/1970,999-18-3878,S99935158,0,Hon,Borer,white,nonhispanic,F,New York  New York  US,983 Auer Orchard Unit 37,New York,New York,Richmond County,36005.0,10459,PQEldLarxF@yahoo.com,999-18-3878,Match,uspsStoreAddress,25.2.1,1970-01-01 00:00:00,USPS Store,11,05ce089a-7bcf-83d3-7252-5cbe921bf865
8873424,08/14/1940,476-53-8725,S99935158,0,Jane,Doe,white,nonhispanic,F,New York  New York  US,983 Auer Orchard Unit 37,New York,New York,Richmond County,36005.0,10459,PQEldLarxF@yahoo.com,999-18-3878,No Match,place_holder_name,11.2,0,0,11,05ce089a-7bcf-83d3-7252-5cbe921bf865
1616450,10/03/1976,3878,S99935158,0,Honey,Borer,white,nonhispanic,F,New York  New York  US,983 Auer Orchard Unit 37,New York,New York,Richmond County,36005.0,10459,PQEldLarxF@yahoo.com,999-18-3878,No Match,ssnLastFour,27.2,1970-01-01 00:00:00,0,11,05ce089a-7bcf-83d3-7252-5cbe921bf865
6118680,01/01/1970,999-18-3878,S99935158,0,Anon,Anon,white,nonhispanic,F,New York  New York  US,983 Auer Orchard Unit 37,New York,New York,Richmond County,36005.0,10459,PQEldLarxF@yahoo.com,999-18-3878,Match,UnkownNames,12.1,0,0,11,05ce089a-7bcf-83d3-7252-5cbe921bf865
6762338,08/03/1973,138-74-3945,S99935158,0,Honey,Borer,white,nonhispanic,F,New York  New York  US,983 Auer Orchard Unit 37,New York,New York,Richmond County,36005.0,10459,PQEldLarxF@yahoo.com,999-18-3878,No Match,uspsStoreAddress,25.2.2,1970-01-01 00:00:00,0,11,05ce089a-7bcf-83d3-7252-5cbe921bf865
9752174,01/01/1970,999-18-3878,S99935158,0,Borer,Honey,white,nonhispanic,F,New York  New York  US,983 Auer Orchard Unit 37,New York,New York,Richmond County,36005.0,10459,PQEldLarxF@yahoo.com,999-18-3878,Match,swapFirstLast,3,0,0,11,05ce089a-7bcf-83d3-7252-5cbe921bf865
9102745,01/01/1970,3878,S99935158,0,Honey,Borer,white,nonhispanic,F,New York  New York  US,983 Auer Orchard Unit 37,New York,New York,Richmond County,36005.0,10459,PQEldLarxF@yahoo.com,999-18-3878,Match,ssnLastFour,27,1970-01-01 00:00:00,0,11,05ce089a-7bcf-83d3-7252-5cbe921bf865
4470576,01/01/1970,999-30-8367,S99995804,X77990930X,Gi,Ortiz,white,nonhispanic,F,Walden  New York  US,957 Balistreri Bay,New York,New York,Richmond County,36081.0,11423,RIYeOOYOAd@yahoo.com,999-30-8367,Match,uspsStoreAddress,25.2.1,1970-01-01 00:00:00,USPS Store,5,418ca9fb-c26b-b99e-6632-321ae340bd00
9842850,01/01/1970,999-30-8367,S99995804,X77990930X,Ortiz,Gita,white,nonhispanic,F,Walden  New York  US,957 Balistreri Bay,New York,New York,Richmond County,36081.0,11423,RIYeOOYOAd@yahoo.com,999-30-8367,Match,swapFirstLast,3,0,0,5,418ca9fb-c26b-b99e-6632-321ae340bd00
6289238,01/01/1970,999-30-8367,S99995804,X77990930X,Gita-Howe,Ortiz,white,nonhispanic,F,Walden  New York  US,957 Balistreri Bay,New York,New York,Richmond County,36081.0,11423,RIYeOOYOAd@yahoo.com,999-30-8367,Match,hyphenatedLastNames,4,0,0,5,418ca9fb-c26b-b99e-6632-321ae340bd00
1210522,10/19/1944,450-65-9631,S99995804,X77990930X,Gita,Ortiz,white,nonhispanic,F,Walden  New York  US,957 Balistreri Bay,New York,New York,Richmond County,36081.0,11423,RIYeOOYOAd@yahoo.com,999-30-8367,No Match,uspsStoreAddress,25.2.2,1970-01-01 00:00:00,0,5,418ca9fb-c26b-b99e-6632-321ae340bd00
7681327,01/01/1970,171-54-6240,S99995804,X77990930X,Sarah,Ortiz,white,nonhispanic,F,Walden  New York  US,957 Balistreri Bay,New York,New York,Richmond County,36081.0,11423,RIYeOOYOAd@yahoo.com,999-30-8367,No Match,twins,1,0,0,5,418ca9fb-c26b-b99e-6632-321ae340bd00
9602553,01/01/1970,999-21-7860,S99952686,X67529376X,Anon,Anon,black,nonhispanic,M,New York  New York  US,416 Flatley Promenade Apt 13,New York,New York,Richmond County,36047.0,11205,BqmRFJKYbe@hotmail.com,999-21-7860,Match,UnkownNames,12.1,0,0,11,4a22a305-d16b-dd7c-28f6-0f2527c94d69
8287799,01/01/1970,999-21-7860,S99952686,X67529376X,Jane,Doe,black,nonhispanic,M,New York  New York  US,416 Flatley Promenade Apt 13,New York,New York,Richmond County,36047.0,11205,BqmRFJKYbe@hotmail.com,999-21-7860,Match,place_holder_name,11.1,0,0,11,4a22a305-d16b-dd7c-28f6-0f2527c94d69
9156016,01/01/1970,999-21-7860,S99952686,X67529376X,Reid-Flynn,Considine,black,nonhispanic,M,New York  New York  US,416 Flatley Promenade Apt 13,New York,New York,Richmond County,36047.0,11205,BqmRFJKYbe@hotmail.com,999-21-7860,Match,hyphenatedLastNames,4,0,0,11,4a22a305-d16b-dd7c-28f6-0f2527c94d69
9734369,01/01/1970,999-21-7860,S99952686,X67529376X,Rei,Considine,black,nonhispanic,M,New York  New York  US,416 Flatley Promenade Apt 13,New York,New York,Richmond County,36047.0,11205,BqmRFJKYbe@hotmail.com,999-21-7860,Match,uspsStoreAddress,25.2.1,1970-01-01 00:00:00,USPS Store,11,4a22a305-d16b-dd7c-28f6-0f2527c94d69
8037979,01/01/1970,7860,S99952686,X67529376X,Reid,Considine,black,nonhispanic,M,New York  New York  US,416 Flatley Promenade Apt 13,New York,New York,Richmond County,36047.0,11205,BqmRFJKYbe@hotmail.com,999-21-7860,Match,ssnLastFour,27,1970-01-01 00:00:00,0,11,4a22a305-d16b-dd7c-28f6-0f2527c94d69
7283430,09/16/1976,896-59-5720,S99952686,X67529376X,Reid,Considine,black,nonhispanic,M,New York  New York  US,416 Flatley Promenade Apt 13,New York,New York,Richmond County,36047.0,11205,BqmRFJKYbe@hotmail.com,999-21-7860,No Match,uspsStoreAddress,25.2.2,1970-01-01 00:00:00,0,11,4a22a305-d16b-dd7c-28f6-0f2527c94d69
9557491,08/14/1940,476-53-8725,S99952686,X67529376X,Jane,Doe,black,nonhispanic,M,New York  New York  US,416 Flatley Promenade Apt 13,New York,New York,Richmond County,36047.0,11205,BqmRFJKYbe@hotmail.com,999-21-7860,No Match,place_holder_name,11.2,0,0,11,4a22a305-d16b-dd7c-28f6-0f2527c94d69
1534208,12/17/1992,343-10-1908,S99952686,X67529376X,Unk,Unk,black,nonhispanic,M,New York  New York  US,416 Flatley Promenade Apt 13,New York,New York,Richmond County,36047.0,11205,BqmRFJKYbe@hotmail.com,999-21-7860,No Match,UnkownNames,12.2,0,0,11,4a22a305-d16b-dd7c-28f6-0f2527c94d69
4044476,10/03/1976,7860,S99952686,X67529376X,Reid,Considine,black,nonhispanic,M,New York  New York  US,416 Flatley Promenade Apt 13,New York,New York,Richmond County,36047.0,11205,BqmRFJKYbe@hotmail.com,999-21-7860,No Match,ssnLastFour,27.2,1970-01-01 00:00:00,0,11,4a22a305-d16b-dd7c-28f6-0f2527c94d69
2385961,01/01/1970,307-04-5069,S99952686,X67529376X,Jesus,Considine,black,nonhispanic,M,New York  New York  US,416 Flatley Promenade Apt 13,New York,New York,Richmond County,36047.0,11205,BqmRFJKYbe@hotmail.com,999-21-7860,No Match,twins,1,0,0,11,4a22a305-d16b-dd7c-28f6-0f2527c94d69
9168912,01/01/1970,999-21-7860,S99952686,X67529376X,Considine,Reid,black,nonhispanic,M,New York  New York  US,416 Flatley Promenade Apt 13,New York,New York,Richmond County,36047.0,11205,BqmRFJKYbe@hotmail.com,999-21-7860,Match,swapFirstLast,3,0,0,11,4a22a305-d16b-dd7c-28f6-0f2527c94d69
5393739,01/01/1970,999-99-3397,S99957613,X83435825X,Iraid-Taylor,Langworth,asian,nonhispanic,F,New York  New York  US,980 Kemmer Route Apt 82,New York,New York,Richmond County,36081.0,11423,iIxBLGNyKS@gmail.com,999-99-3397,Match,hyphenatedLastNames,4,0,0,5,6d526b32-29d1-0228-3c4a-14803dfa9bd6
3854255,01/01/1970,839-57-2071,S99957613,X83435825X,Joseph,Langworth,asian,nonhispanic,F,New York  New York  US,980 Kemmer Route Apt 82,New York,New York,Richmond County,36081.0,11423,iIxBLGNyKS@gmail.com,999-99-3397,No Match,twins,1,0,0,5,6d526b32-29d1-0228-3c4a-14803dfa9bd6
