Id,BIRTHDATE,SSN,DRIVERS,PASSPORT,FIRST,LAST,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP
c3b2e799-5291-dc30-dbfc-679181de00aa,20160730,999-25-4120,,,Sofia,Lucero,white,hispanic,F,Puebla  Puebla  MX,439 Yundt Well Unit 53,New York,New York,Richmond County,36081,11694
a793a189-7e7f-48b6-ea63-43036cef8d3d,20110614,999-96-4656,,,Aubre,Kunde,white,nonhispanic,M,Stockport  New York  US,104 Bergstrom Corner,New York,New York,Richmond County,36061,10172
45aa9ffe-bb1e-c459-9f42-1944832cb8d1,20090115,999-12-5114,,,David,Boyle,white,nonhispanic,M,New York  New York  US,964 Heidenreich Gate Unit 39,New York,New York,Richmond County,36085,10301
a71c549b-c5fe-80b5-a1e8-4741bd43aeb9,20140715,999-19-6327,,,Ange,Cummerata,black,nonhispanic,M,Warwick  New York  US,561 Fahey Viaduct,New York,New York,Richmond County,36081,11693
d146d332-a0a7-7923-f043-3a5461d8e77d,19960717,999-35-6701,S99942160,X83002348X,Bernetta,Schiller,white,nonhispanic,F,Penfield  New York  US,509 Hamill Byway Unit 98,New York,New York,Richmond County,36061,10022
c07a6f3b-a008-257b-36bf-52faa0580281,19880329,999-78-4008,S99955037,X65930812X,Amiee,Gulgowski,asian,nonhispanic,F,Shanghai  Shanghai Municipality  CN,639 Wunsch Mews,New York,New York,Richmond County,36047,11220
a08c883f-bdbd-7d0b-158d-17a69e78337b,19770707,999-14-7102,S99979760,X6811965X,Antwan,Kreiger,white,nonhispanic,M,Greenlawn  New York  US,699 Schiller Row Unit 54,New York,New York,Richmond County,36047,11237
5f8a80bc-c38c-4e5e-b8c2-08a39b3b330c,20121010,999-68-8341,,,Kurt,Strosin,white,nonhispanic,M,Chaumont  New York  US,931 Ortiz Ranch,New York,New York,Richmond County,36061,10023
6252ef78-e442-3081-f63b-36435c505a7f,19810101,999-69-1046,S99953400,X11459785X,Nicky,Ledner,white,nonhispanic,F,Suffern  New York  US,331 Hahn Ville Suite 17,New York,New York,Richmond County,36081,11365
6b7b3fc8-b581-0e0c-59f4-ffcd6337d687,19890724,999-84-5683,S99968496,X10987233X,Aimee,Runolfsdottir,white,nonhispanic,F,Garden City  New York  US,699 Boehm Park,New York,New York,Richmond County,36081,11692
